Movie,animated_rt,live_action_rt
Mulan,92,71
The Jungle Book,88,80
Cinderella,95,84
Beauty and the beast,95,71
Dumbo,95,46
Aladdin,96,57
Lion King,93,51
Lady and the tramp,93,67
Pinocchio,100,27
Little Mermaid,92,67
Avatar the last air bender season 1,100,61
